qn,label,pronoun,quote,source,text,options,pronoun_loc,quote_loc
223,1,เธอ,เธอสามารถมองเห็น,David Bender,ขณะที่ณัชชาบนเครื่องบินพ่นยาฆ่าแมลงบินผ่านดารินไป เธอสามารถมองเห็นฐานล้อ,['ณัชชา' 'ดาริน'],50,50
224,0,เขา,เขาจะได้ไม่ต้องขับรถคนเดียว,David Bender,แชมป์ขับรถไปส่งธันวาที่โรงเรียน เพราะเขาจะได้ไม่ต้องขับรถคนเดียว,['แชมป์' 'ธันวา'],37,37
225,1,เขา,เขาจะได้ไม่ต้องเดิน,David Bender,แชมป์ขับรถไปส่งธันวาที่โรงเรียน เพราะเขาจะได้ไม่ต้องเดิน,['แชมป์' 'ธันวา'],37,37
226,0,เขา,เขาอิ่ม,David Bender,อิกคิวส่งจานที่เหลือครึ่งให้ฟีฟ่าเพราะเขาอิ่ม,['อิกคิว' 'ฟีฟ่า'],38,38
227,1,เขา,เขาหิว,David Bender,อิกคิวส่งจานที่เหลือครึ่งให้ฟีฟ่าเพราะเขาหิว,['อิกคิว' 'ฟีฟ่า'],38,38
228,0,เขา,ตาของเขาจบลงแล้ว,David Bender,ตะวันส่งตลับเกมให้กับกันต์ธี เพราะตาของเขาจบลงแล้ว,['ตะวัน' 'กันต์ธี'],39,34
229,1,เขา,ต่อไปคือตาของเขา,David Bender,ตะวันส่งตลับเกมให้กับกันต์ธี เพราะต่อไปคือตาของเขา,['ตะวััน' 'กันต์ธี'],47,34
230,0,ของเขา,บนไหล่ของเขา,David Bender,บุรุษท่านนั้นอุ้มเด็กผู้ชายไปบนไหล่ของเขา,[' บุรุษ' 'เด็กผู้ชาย'],35,29
231,1,ของเขา,ชั้นเตียงของเขา,David Bender,บุรุษท่านนั้นอุ้มเด็กผู้ชายไปบนชั้นเตียงของเขา,[' บุรุษ' 'เด็กผู้ชาย'],40,31
232,0,เธอ,ขณะที่กำลังยืดหลังของเธอ,David Bender,หญิงท่านนั้นยิ้มให้กับเด็กสาว ขณะที่กำลังยืดหลังของเธอ,['หญิงท่านนั้น' 'เด็กสาว'],51,30
233,1,เธอ,ขณะที่กำลังแตะหลังของเธอ,David Bender,หญิงท่านนั้นยิ้มให้กับเด็กสาว ขณะที่กำลังแตะหลังของเธอ,['หญิงท่านนั้น' 'เด็กสาว'],51,30
234,0,ของเขา,ของเล่นของเขา,David Bender,กฤษติร้องไห้เพราะก๊อปแก๊ปไม่รับของเล่นของเขา,['กฤษติ' 'ก๊อปแก๊ป'],38,31
235,1,ของเขา,ของเล่นของเขา,David Bender,กฤษติร้องไห้เพราะก๊อปแก๊ปไม่ยอมแบ่งของเล่นของเขา,['กฤษติ' 'ก๊อปแก๊ป'],42,35
236,0,ของเธอ,ความเงียบถูกทดแทนด้วยเสียงของเธอ,David Bender,อัญชลีพูดกับธัญพร ความเงียบถูกทดแทนด้วยเสียงของเธอ,['อัญชลี' 'ธัญพร'],44,18
237,1,ของเธอ,สมาธิของเธอ,David Bender,อัญชลีพูดกับธัญพร ทำลายสมาธิของเธอ,['อัญชลี' 'ธัญพร'],28,23
238,0,เขา,มองเขา,David Bender,เมื่อจิรัตน์ทำไอศกรีมของเขาหล่น จิรันตร์หัวเราะ ทำให้พ่อของเขามองเขาด้วยสายตาห่วงใย,['จิรัตน์' 'จิรันตร์'],65,62
239,1,เขา,มองเขา,David Bender,เมื่อจิรัตน์ทำไอศกรีมของเขาหล่น จิรันตร์หัวเราะ ทำให้พ่อของเขามองเขาด้วยสายตาดุดัน,['จิรัตน์' 'จิรันตร์'],65,62
240,0,ของเขา,ขาของเขาปวดเมื่อย,David Bender,ระหว่างไตเติ้ลอุ้มทศพลขึ้นบนบันไดวน ขาของเขาปวดเมื่อย,['ไตเติ้ล' 'ทศพล'],38,36
241,1,ของเขา,ขาของเขาแกว่งไปมา,David Bender,ระหว่างไตเติ้ลอุ้มทศพลขึ้นบนบันไดวน ขาของเขาแกว่งไปมา,['ไตเติ้ล' 'ทศพล'],38,36
242,0,ของเขา,อ้อมแขนของเขา,David Bender,คุณพ่ออุ้มเด็กชายที่นอนหลับอยู่บนอ้อมแขนของเขา,['คุณพ่อ' 'เด็กชาย'],40,33
243,1,ของเขา,เปลนอนของเขา,David Bender,คุณพ่ออุ้มเด็กชายที่นอนหลับอยู่บนเปลนอนของเขา,['คุณพ่อ' 'เด็กชาย'],39,33
244,0,ของเธอ,หน้าอกของเธอ,David Bender,หญิงท่านนั้นจับตัวเด็กผู้หญิงแนบประชิดกับหน้าอกของเธอ,['หญิงท่านนั้น' 'เด็กผู้หญิง'],47,41
245,1,ของเธอ,ขัดเจตนาของเธอ,David Bender,หญิงท่านนั้นจับตัวเด็กหญิงโดยขัดเจตนาของเธอ,['หญิงท่านนั้น' 'เด็กผู้หญิง'],37,29
246,0,พวกเขา,พวกเขาโกรธอย่างมาก,David Bender,ผู้ปกครองมัณฑนากลับบ้าน และพบเธอกำลังมีเพศสัมพันธ์กับแฟนหนุ่มของเธอธนศาล พวกเขาโกรธอย่างมาก,['ผู้ปกครองมัณฑนา' 'มัณฑนาและธนศาล'],73,73
247,1,พวกเขา,พวกเขาอายอย่างมาก,David Bender,ผู้ปกครองมัณฑนากลับบ้าน และพบเธอกำลังมีเพศสัมพันธ์กับแฟนหนุ่มของเธอธนศาล พวกเขาอายอย่างมาก,['ผู้ปกครองมัณฑนา' 'มัณฑนาและธนศาล'],73,73
248,0,เธอ,เธอเกษียณแล้ว,David Bender,นางแพทย์บุษบาแจ้งให้เกตุทราบว่าเธอเกษียณแล้ว พร้อมเสนอตัวเลือกสำหรับการรักษาในอนาคต,['นางแพทย์บุษบา' 'เกตุ'],31,31
249,1,เธอ,เธอเป็นมะเร็ง,David Bender,นางแพทย์บุษบาแจ้งให้เกตุทราบว่าเธอเป็นมะเร็ง พร้อมเสนอตัวเลือกสำหรับการรักษาในอนาคต,['นางแพทย์บุษบา' 'เกตุ'],31,31
250,0,เขา,เขาเห็นอกเห็นใจมาก,David Bender,นทีจำเป็นต้องห้ามชลลธีไม่ให้เล่นกับนกที่บาดเจ็บอยู่ เขาเห็นอกเห็นใจมาก,['นที' 'ชลลธี'],52,52
251,1,เขา,เขาทารุณมาก,David Bender,นทีจำเป็นต้องห้ามชลลธีไม่ให้เล่นกับนกที่บาดเจ็บอยู่ เขาทารุณมาก,['นที' 'ชลลธี'],52,52
252,0,เขา,เขาอยากจะ,David Bender,พีชได้รับตั๋วฟรีสำหรับงานแสดง แต่เขามอบให้กับสกาย แม้เขาอยากจะดูมันมาก,['พีช' 'สกาย '],53,53
253,1,เขา,เขาอยากจะ,David Bender,พีชได้รับตั๋วฟรีสำหรับงานแสดง แต่เขามอบให้กับสกาย เพราะเขาอยากจะดูมันมาก,['พีช' 'สกาย '],55,55
254,0,เขา,เขาไม่ค่อยอยากจะ,David Bender,พีชได้รับตั๋วฟรีสำหรับงานแสดง แต่เขามอบให้กับสกาย เพราะเขาไม่ค่อยอยากจะดูมัน,['พีช' 'สกาย '],55,55
255,0,เธอ,เธอไม่หิว,"""Linguistic Problems and Complexities"" http://www.csi.uottawa.ca/tanka/files/complexities.html",นานาส่งลูกอมให้บลู เพราะเธอไม่หิว,['นานา' 'บลู'],24,24
256,1,เธอ,เธอหิว,"""Linguistic Problems and Complexities"" http://www.csi.uottawa.ca/tanka/files/complexities.html",นานาส่งลูกอมให้บลู เพราะเธอหิว,['นานา' 'บลู'],24,24
257,0,มัน,มันกลับดูเหมือนหลอดไฟ,Ernest Davis,ฉันตั้งใจจะวาดภาพแปลงผลไม้ ที่มีลูกมะนาวบนต้นมะนาว แต่มันกลับดูเหมือนหลอดไฟ,['ลูกมะนาว' 'ต้นมะนาว '],54,54
258,1,มัน,มันกลับดูเหมือนเสาโทรศัพท์,Ernest Davis,ฉันตั้งใจจะวาดภาพแปลงผลไม้ ที่มีลูกมะนาวบนต้นมะนาว แต่มันกลับดูเหมือนเสาโทรศัพท์,['ลูกมะนาว' 'ต้นมะนาว '],54,54
259,0,เขา,เขาถูกปฎิเสธ,From (Rahman and Ng 2012),ไทม์ขอให้ไนท์ช่วย แต่เขาถูกปฎิเสธ,['ไทม์' 'ไนท์'],21,21
260,1,เขา,เขาปฎิเสธ,From (Rahman and Ng 2012),ไทม์ขอให้ไนท์ช่วย แต่เขาปฎิเสธ,['ไทม์' 'ไนท์'],21,21
261,0,เขา,เขาเป็นที่นิยมน้อยกว่า,Modified from (Rahman and Ng 2012),เศรษฐายกตำแหน่งประธานาธิบดีให้กับทักษิณ เพราะเขาเป็นที่นิยมน้อยกว่า,['เศรษฐา' 'ทักษิณ'],45,45
262,1,เขา,เขาเป็นที่นิยมมากกว่า,Modified from (Rahman and Ng 2012),เศรษฐายกตำแหน่งประธานาธิบดีให้กับทักษิณ เพราะเขาเป็นที่นิยมมากกว่า,['เศรษฐา' 'ทักษิณ'],45,45
263,0,เธอ,เธอเห็น,Modified from (Rahman and Ng 2012),นุ่นไม่ยอมส่งลูกบอลให้ตาล แม้เธอเห็นว่าเธอว่าง,['นุ่น' 'ตาล'],29,29
264,1,เธอ,เธอว่าง,Modified from (Rahman and Ng 2012),นุ่นไม่ยอมส่งลูกบอลให้ตาล แม้เธอว่าง,['นุ่น' 'ตาล'],29,29
265,0,มัน,มันหัก,(Winograd 1971),ฉันวางปีกผีเสื้อไว้บนโต๊ะ และมันหัก,['ปีกผีเสื้อ' 'โต๊ะ '],29,29
266,1,มัน,มันพัง,(Winograd 1971),ฉันวางหนังสือเล่มหนาไว้บนโต๊ะ และมันพัง,['หนังสือเล่มหนา' 'โต๊ะ '],33,33
267,0,เธอ,เธอทน,Modified from a headline in People Magazine http://www.people.com/article/madonna-fired-trainer-slept-with-boyfriend-manila-tour-stop,พริ้มไล่ครูฝึกของเธอออก เพราะเธอทนแฟนหนุ่มของเธอไม่ได้,['พริ้ม' 'ครูฝึก'],29,29
268,1,เธอ,เธอนอน,Modified from a headline in People Magazine http://www.people.com/article/madonna-fired-trainer-slept-with-boyfriend-manila-tour-stop,พริ้มไล่ครูฝึกของเธอออก เพราะเธอนอนกับแฟนหนุ่มของเธอ,['พริ้ม' 'ครูฝึก'],29,29
269,0,ของเธอ,แฟนหนุ่มของเธอ,Modified from a headline in People Magazine http://www.people.com/article/madonna-fired-trainer-slept-with-boyfriend-manila-tour-stop,พริ้มไล่ครูฝึกของเธอออก เพราะเธอนอนกับแฟนหนุ่มของเธอ,['พริ้ม' 'ครูฝึก'],46,38
270,1,ของเธอ,แฟนหนุ่มของเธอ,Modified from a headline in People Magazine http://www.people.com/article/madonna-fired-trainer-slept-with-boyfriend-manila-tour-stop,พริ้มไล่ครูฝึกของเธอออก เพราะเธอทนแฟนหนุ่มของเธอไม่ได้,['พริ้ม' 'ครูฝึก'],42,34
271,0,เธอ,เธอขโมยนาฬิกาข้อมือ,Leora Morgenstern,พลอยเชื่อว่าแพรสงสัยว่าเธอขโมยนาฬิกาข้อมือ,['พลอย' 'แพร'],23,23
272,1,เธอ,เธอขโมยนาฬิกาข้อมือ,Leora Morgenstern,พลอยเชื่อว่าแพรสลดใจที่เธอขโมยนาฬิกาข้อมือ,['พลอย' 'แพร'],23,23
273,0,ของเขา,งานประพันธ์ของเขา,Ernest Davis (coming out of a Facebook discussion with Michael Witbrock),หนังสือเล่มนี้ช่วยให้เชกสเปียร์รู้จักออวิด มันเป็นอิทธิพลหลักในงานประพันธ์ของเขา,['เชกสเปียร์' 'ออวิด'],74,63
274,1,ของเขา,งานประพันธ์ของเขา,Ernest Davis (coming out of a Facebook discussion with Michael Witbrock),หนังสือเล่มนี้ช่วยให้เชกสเปียร์รู้จักเกอเธ่ มันเป็นอิทธิพลหลักในงานประพันธ์ของเขา,['เชกสเปียร์' 'เกอเธ่'],75,64
275,1,ของเขา,งานประพันธ์ระดับชั้นครูของเขา,Ernest Davis (coming out of a Facebook discussion with Michael Witbrock),หนังสือเล่มนี้ช่วยให้เชกสเปียร์รู้จักออวิด มันคืองานประพันธ์ระดับชั้นครูของเขา,['เชกสเปียร์' 'ออวิด'],72,49
276,0,ของเขา,งานประพันธ์ระดับชั้นครูของเขา,Ernest Davis (coming out of a Facebook discussion with Michael Witbrock),หนังสือเล่มนี้ช่วยให้เชกสเปียร์รู้จักเกอเธ่ มันคืองานประพันธ์ระดับชั้นครูของเขา,['เชกสเปียร์' 'เกอเธ่'],73,50
277,0,เธอ,เธอมักจะโชคดี,Sabri Meeran and Ernest Davis,สายป่านมองหาปุ้ย เพื่อนของเธอในกลุ่มคนหนาแน่น เนื่องจากเธอมักจะโชคดี สายป่านจึงพบเธอได้อย่างรวดเร็ว,['สายป่าน' 'ปุ้ย'],55,55
278,1,เธอ,เธอใส่ผ้าโพกหัวสีแดง,Sabri Meeran and Ernest Davis,สายป่านมองหาปุ้ย เพื่อนของเธอในกลุ่มคนหนาแน่น เนื่องจากเธอใส่ผ้าโพกหัวสีแดง สายป่านจึงพบเธอได้อย่างรวดเร็ว,['สายป่าน' 'ปุ้ย'],55,55
279,0,เขา,เขาเป็น,Sabri Meeran,ในเกมวิ่งไล่จับ ดอนวิ่งไล่ศุภชัย เพราะเขาเป็น,['ดอน' 'ศุภชัย'],38,38
280,1,เขา,เขาเป็น,Sabri Meeran,ในเกมวิ่งไล่จับ ดอนวิ่งหนีศุภชัย เพราะเขาเป็น,['ดอน' 'ศุภชัย'],38,38
281,0,พวกนั้น,พวกนั้นโง่เขลามาก,Sabri Meeran,การประกวดสิ่งประดิษฐ์และนวัตกรรม กลุ่มกรรมการไม่สามารถเดาได้ว่าผู้ตอบกลุ่มไหนคือแชทบอทเพราะพวกนั้นโง่เขลามาก,['กลุ่มกรรมการ' 'แชทบอท'],91,91
282,1,พวกนั้น,พวกนั้นฉลาดล้ำมาก,Sabri Meeran,การประกวดสิ่งประดิษฐ์และนวัตกรรม กลุ่มกรรมการไม่สามารถเดาได้ว่าผู้ตอบกลุ่มไหนคือแชทบอทเพราะพวกนั้นฉลาดล้ำมาก,['กลุ่มกรรมการ' 'แชทบอท'],91,91
283,0,มัน,มันถูกลืมได้ง่าย,Sabri Meeran,"ผู้ใช้ได้เปลี่ยนรหัสผ่านจาก ""GrWQWu8JyC"" เป็น ""Inwza55YO"" เพราะมันถูกลืมได้ง่าย",['GrWQWu8JyC' 'Inwza55YO'],63,63
284,1,มัน,มันง่ายต่อการจดจำ,Sabri Meeran,"ผู้ใช้ได้เปลี่ยนรหัสผ่านจาก ""GrWQWu8JyC"" เป็น ""Inwza55YO""  เพราะมันง่ายต่อการจดจำ",['GrWQWu8JyC' 'Inwza55YO'],64,64
